free,"Displays the total amount of free space available along with the amount of memory used and swap memory in the system and also the buffers used by the kernel"
finger,"It is a user information lookup command which gives details of all the users logged in."
find,"Used to find files and directories and perform subsequent operations on them"
clear,"Clears the terminal screen"
exit,"Used to exit the shell where it is currently running"
echo,"Used to display line of text/string that are passed as an argument"
grep,"Searches a file for a particular pattern of characters and displays all lines that contain that pattern"
df,"Used to display information related to file systems about total space and available space"
chown,"Changes ownership of a file or directory"
alias,"Instructs the shell to replace one string with another string while executing the commands"
cat,"Concatenates files or output a file"
chmod,"Changes the access mode of a file or directory"
who,"Shows who are logged in"
top,"Shows real-time stats of system process and hardware usage"
kill,"Used to manually terminate a process"
ps,"Lists running processes and their PIDs"
make,"Invokes a makefile that tells compiler how to compile a project"
gcc,"The C compiler by GNU used to compile C files"
g++,"The C++ compiler by GNU used to compile C++ files"
man,"Displays the manual page for a command-line utility"
scp,"Secure copy a file or directory over network"
ssh,"Secure shell used for remoting into other computers using TLS"
mv,"Moves file or directory to a destination"
cp,"Copies a file or directory to a destination"
rm,"General purpose utility that can remove files symbolic links and directories"
rmdir,"Removes a directory"
mkdir,"Creates a new directory"
cd,"Change working directory to another directory"
ls,"Lists content of current directory"
pwd,"It prints the path of the working directory starting from the root"
